,ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
40,100000041,Male,Single,30,Unknown,163329,Management/High qualified employee,Mid-sized city
41,100000042,Male,Married,26,High school,130921,Skilled employee/Official,Small city
42,100000043,Male,Single,44,High school,133658,Unemployed,Small city
43,100000044,Male,Non-single,24,High school,155104,Skilled employee/Official,Mid-sized city
44,100000045,Female,Non-single,58,University,,Unemployed,Mid-sized city
45,100000046,Female,Non-single,35,High school,138387,Management/High qualified employee,Mid-sized city
46,100000047,Male,Single,39,High school,140182,Skilled employee/Official,Small city
47,100000048,Female,Non-single,23,High school,65421,Unemployed,Small city
48,100000049,Male,Single,39,High school,130500,Unemployed,Small city
49,100000050,Female,Non-single,,High school,122831,Skilled employee/Official,Small city
50,100000051,Male,Single,29,Unknown,,Unemployed,Small city
51,100000052,Male,Single,30,Unknown,180196,Management/High qualified employee,Big city
52,100000053,Male,Single,25,Unknown,92058,Skilled employee/Official,Big city
53,100000054,Male,Single,31,Unknown,117158,Skilled employee/Official,Small city
54,100000055,Male,Single,57,University,135830,Skilled employee/Official,Mid-sized city
55,100000056,Male,Single,26,,58258,Unemployed,Small city
56,100000057,Male,Single,52,High school,202575,Management/High qualified employee,Big city
57,100000058,Female,Non-single,31,High school,183657,Skilled employee/Official,Mid-sized city
58,100000059,Female,Non-single,23,High school,152267,Management/High qualified employee,Mid-sized city
59,100000060,Female,Non-single,23,High school,115240,Unemployed,Small city
60,100000061,Male,Non-single,27,High school,106955,Skilled employee/Official,Big city
61,100000062,Male,Single,50,High school,123641,Skilled employee/Official,Mid-sized city
62,100000063,Male,Single,61,University,166410,Management/High qualified employee,Mid-sized city
63,100000064,Male,Single,25,Unknown,227385,Skilled employee/Official,Big city
64,100000065,Female,Non-single,26,High school,118372,Skilled employee/Official,Mid-sized city
65,100000066,Male,Single,48,High school,148115,Skilled employee/Official,Mid-sized city
66,100000067,Female,Non-single,29,High school,111069,Skilled employee/Official,Medium sized city
67,100000068,Male,Non-single,22,High school,139780,Skilled employee/Official,Small city
68,100000069,Male,Single,37,High school,,Skilled employee/Official,Big city
69,100000070,Female,Non-single,25,High school,110019,Skilled employee/Official,Big city
70,100000071,Female,Non-single,30,High school,169102,Skilled employee/Official,Mid-sized city
71,100000072,Male,Single,46,High school,73703,Unemployed,Small city
72,100000073,Male,Single,,High school,141858,Management/High qualified employee,Big city
73,100000074,Female,Non-single,,University,135959,Unemployed,Small city
74,100000075,Male,Single,40,High school,140888,Management/High qualified employee,Big city
75,100000076,Male,Single,66,University,157299,Management/High qualified employee,Big city
76,100000077,Male,Single,34,High school,125187,Skilled employee/Official,Mid-sized city
77,100000078,Male,Single,51,High school,155486,Skilled employee/Official,Big city
78,100000079,Male,Single,39,High school,151697,Unemployed,Small city
79,100000080,Male,Non-single,22,High school,126400,Skilled employee/Official,Mid-sized city
80,100000081,Female,Married,44,University,159246,Skilled employee/Official,Big city
81,100000082,Male,Single,47,High school,136138,Skilled employee/Official,Mid-sized city
82,100000083,Female,Non-single,24,High school,84792,Unemployed,Small city
83,100000084,Female,Non-single,58,University,100210,Unemployed,Small city
84,100000085,Male,Single,52,High school,,Unemployed,Small city
85,100000086,Female,Non-single,29,High school,133783,Management/High qualified employee,Mid-sized city
86,100000087,Female,Non-single,27,High school,110064,Skilled employee/Official,Big city
87,100000088,Male,Single,47,High school,,Skilled employee/Official,Mid-sized city
88,100000089,Male,Single,30,Unknown,,Management/High qualified employee,Big city
89,100000090,Male,Single,28,Unknown,92973,Skilled employee/Official,Big city
90,100000091,Male,Single,56,High school,110605,Skilled employee/Official,Mid-sized city
91,100000092,Male,Single,,High school,116604,Skilled employee/Official,Mid-sized city
92,100000093,Female,Non-single,33,High school,71070,Unemployed,Small city
93,100000094,Male,Single,20,Unknown,,Skilled employee/Official,Mid-sized city
94,100000095,Male,Single,54,High school,165230,Skilled employee/Official,Big city
95,100000096,Male,Single,58,University,268340,Skilled employee/Official,Mid-sized city
96,100000097,Female,Non-single,61,University,135070,Skilled employee/Official,Mid-sized city
97,100000098,Male,Single,34,,134794,Skilled employee/Official,Big city
98,100000099,Male,Single,36,High school,120153,Skilled employee/Official,Mid-sized city
99,100000100,Male,Single,36,High school,195465,Management/High qualified employee,Big city
100,100000101,Male,Non-single,41,High school,93372,Unemployed,Medium sized city
101,100000102,Male,Single,24,Unknown,110446,Skilled employee/Official,Small city
102,100000103,Female,Non-single,24,High school,,Skilled employee/Official,Mid-sized city
103,100000104,Male,Single,35,High school,115343,Skilled employee/Official,Mid-sized city
104,100000105,Male,Non-single,26,High school,107276,Skilled employee/Official,Mid-sized city
105,100000106,Male,Single,39,High school,244716,Management/High qualified employee,Big city
106,100000107,Male,Single,39,High school,183108,Management/High qualified employee,Big city
107,100000108,Male,Single,32,Unknown,152876,Skilled employee/Official,Big city
108,100000109,Female,Non-single,30,High school,165147,Skilled employee/Official,Small city
109,100000110,Male,Non-single,35,High school,140520,Skilled employee/Official,Small city
110,100000111,Male,Non-single,31,High school,,Skilled employee/Official,Mid-sized city
111,100000112,Female,Non-single,23,High school,107205,Skilled employee/Official,Mid-sized city
112,100000113,Male,Single,28,Unknown,,Unemployed,Big city
113,100000114,Female,Non-single,25,High school,162445,Skilled employee/Official,Small city
114,100000115,Male,Non-single,35,High school,134112,Skilled employee/Official,Mid-sized city
115,100000116,Male,Single,47,High school,131842,Skilled employee/Official,Mid-sized city
116,100000117,Female,Non-single,30,High school,189896,Management/High qualified employee,Small city
117,100000118,Female,Non-single,27,High school,109099,Skilled employee/Official,Big city
118,100000119,Female,Non-single,23,High school,153539,Skilled employee/Official,Mid-sized city
119,100000120,Male,Non-single,36,High school,,Management/High qualified employee,Mid-sized city
120,100000121,Female,Non-single,25,High school,104653,Skilled employee/Official,Mid sized city
121,100000122,Female,Married,41,University,166933,Management/High qualified employee,Big city
122,100000123,Male,Single,24,Unknown,66118,Unemployed,Small city
123,100000124,Male,Single,63,University,135754,Skilled employee/Official,Small city
124,100000125,Female,Non-single,27,High school,116103,Skilled employee/Official,Big city
125,100000126,Male,Single,30,Unknown,104293,Skilled employee/Official,Mid-sized city
126,100000127,Male,Non-single,40,High school,71702,Unemployed,Small city
127,100000128,Male,Single,30,Unknown,99066,Skilled employee/Official,Big city
128,100000129,Male,Single,34,High school,143979,Management/High qualified employee,Big city
129,100000130,Female,Non-single,29,High school,123818,Skilled employee/Official,Small city
130,100000131,Female,Non-single,24,High school,176714,Skilled employee/Official,Big city
131,100000132,Male,Single,29,Unknown,,Skilled employee/Official,Big city
132,100000133,Male,Single,27,Unknown,77535,Unemployed,Small city
133,100000134,Male,Single,47,High school,116540,Skilled employee/Official,Mid-sized city
134,100000135,Female,Married,21,High school,194728,Skilled employee/Official,Small city
135,100000136,Female,Non-single,38,High school,109311,Skilled employee/Official,Big city
136,100000137,Male,Single,27,Unknown,,Skilled employee/Official,Big city
137,100000138,Male,Single,66,,126003,Unemployed,Small city
138,100000139,Male,Single,35,High school,123109,Skilled employee/Official,Mid-sized city
139,100000140,Female,Non-single,44,University,108251,Unemployed,Small city
140,100000141,Male,Non-single,27,High school,89908,Unemployed,Small city
141,100000142,Female,Non-single,30,High school,176057,Management/High qualified employee,Mid-sized city
142,100000143,Male,Single,27,Unknown,144332,Management/High qualified employee,Big city
143,100000144,Male,Single,22,Unknown,101185,Skilled employee/Official,Mid-sized city
144,100000145,Female,Non-single,23,High school,107406,Skilled employee/Official,Big city
145,100000146,Male,Single,30,Unknown,140665,Skilled employee/Official,Mid-sized city
146,100000147,Female,Non-single,39,University,106461,Skilled employee/Official,Small city
147,100000148,Female,Non-single,51,University,127825,Skilled employee/Official,Small city
148,100000149,Male,Single,28,Unknown,133898,Skilled employee/Official,Mid-sized city
149,100000150,Male,Single,46,High school,152383,Skilled employee/Official,Big city
150,100000151,Male,Single,42,High school,119926,Skilled employee/Official,Small city
151,100000152,Male,Single,38,High school,108784,Skilled employee/Official,Big city
152,100000153,Male,Single,24,Unknown,153286,Skilled employee/Official,Mid-sized city
153,100000154,Female,Non-single,29,High school,214204,Skilled employee/Official,Big city
154,100000155,Male,Single,36,High school,208101,Management/High qualified employee,Big city
155,100000156,Female,Non-single,20,High school,95355,Skilled employee/Official,Mid-sized city
156,100000157,Male,Single,48,High school,,Skilled employee/Official,Mid-sized city
157,100000158,Male,Non-single,45,University,72215,Unemployed,Small city
158,100000159,Male,Single,,High school,,Skilled employee/Official,Big city
159,100000160,Male,Single,34,High school,75343,Unemployed,Small city
160,100000161,Male,Single,36,High school,129789,Skilled employee/Official,Mid-sized city
161,100000162,Female,Non-single,30,High school,101153,Skilled employee/Official,Mid-sized city
162,100000163,Male,Single,36,High school,127833,Skilled employee/Official,Big city
163,100000164,Male,Single,70,University,224998,Management/High qualified employee,Big city
164,100000165,Male,Single,36,High school,124445,Skilled employee/Official,Big city
165,100000166,Male,Single,32,Unknown,141116,Skilled employee/Official,Mid-sized city
166,100000167,Female,Non-single,33,High school,104276,Skilled employee/Official,Big city
167,100000168,Female,Non-single,20,High school,147687,Skilled employee/Official,Big city
168,100000169,Female,Non-single,25,High school,125168,Skilled employee/Official,Medium sized city
169,100000170,Male,Non-single,31,High school,115369,Skilled employee/Official,Big city
170,100000171,Male,Single,33,High school,95445,Skilled employee/Official,Small city
171,100000172,Female,Non-single,26,High school,95159,Skilled employee/Official,Mid-sized city
172,100000173,Female,Non-single,34,High school,153031,Management/High qualified employee,Big city
173,100000174,Male,Single,33,High school,108899,Skilled employee/Official,Small city
174,100000175,Male,Single,26,Unknown,113515,Skilled employee/Official,Mid-sized city
175,100000176,Female,Non-single,53,University,,Management/High qualified employee,Small city
176,100000177,Male,Non-single,42,University,121307,Skilled employee/Official,Small city
177,100000178,Male,Single,52,High school,131727,Skilled employee/Official,Big city
178,100000179,Male,Single,31,Unknown,133574,Management/High qualified employee,Mid-sized city
179,100000180,Male,Single,65,University,117334,Skilled employee/Official,Small city
180,100000181,Male,Non-single,28,High school,177291,Skilled employee/Official,Big city
181,100000182,Male,Non-single,30,High school,168763,Management/High qualified employee,Mid-sized city
182,100000183,Male,Single,40,High school,77720,Unemployed,Small city
183,100000184,Male,Single,50,High school,,Skilled employee/Official,Big city
184,100000185,Male,Single,36,High school,106205,Skilled employee/Official,Mid-sized city
185,100000186,Male,Single,31,Unknown,97785,Skilled employee/Official,Mid-sized city
186,100000187,Female,Non-single,74,Graduate school,,Management/High qualified employee,Mid-sized city
187,100000188,Male,Single,68,University,74525,Unemployed,Small city
188,100000189,Male,Non-single,20,High school,98988,Skilled employee/Official,Small city
189,100000190,Female,Non-single,33,High school,133561,Skilled employee/Official,Mid-sized city
190,100000191,Male,Single,54,High school,217651,Management/High qualified employee,Big city
191,100000192,Male,Single,34,High school,116525,Unemployed,Small city
192,100000193,Male,Single,36,High school,135302,Skilled employee/Official,Big city
193,100000194,Male,Non-single,29,High school,106434,Skilled employee/Official,Mid-sized city
194,100000195,Male,Single,21,Unknown,128350,Skilled employee/Official,Big city
195,100000196,Female,Non-single,34,High school,,Management/High qualified employee,Big city
196,100000197,Female,Non-single,28,High school,102697,Skilled employee/Official,Small city
197,100000198,Female,Non-single,27,High school,120262,Skilled employee/Official,Small city
198,100000199,Male,Single,36,High school,124214,Skilled employee/Official,Big city
199,100000200,Male,Non-single,40,High school,175223,Management/High qualified employee,Medium sized city
200,100000201,Male,Single,,High school,137467,Skilled employee/Official,Small city
201,100000202,Male,Non-single,27,High school,65815,Unemployed,Small city
202,100000203,Male,Single,26,Unknown,129864,Skilled employee/Official,Mid-sized city
203,100000204,Male,Non-single,21,High school,88475,Skilled employee/Official,Mid-sized city
204,100000205,Male,Single,38,High school,74666,Unemployed,Small city
205,100000206,Male,Single,38,High school,222294,Management/High qualified employee,Big city
206,100000207,Male,Single,43,High school,112878,Skilled employee/Official,Small city
207,100000208,Male,Single,26,Unknown,103411,Skilled employee/Official,Big city
208,100000209,Male,Non-single,21,High school,112868,Unemployed,Small city
209,100000210,Male,Single,55,High school,157940,Skilled employee/Official,Big city
210,100000211,Male,Single,33,High school,115835,Skilled employee/Official,Big city
211,100000212,Female,Non-single,45,University,,Unemployed,Small city
212,100000213,Male,Single,50,High school,150699,Skilled employee/Official,Mid-sized city
213,100000214,Male,Single,66,University,,Management/High qualified employee,Small city
214,100000215,Male,Single,51,High school,132767,Skilled employee/Official,Small city
215,100000216,Female,Non-single,39,University,86152,Unemployed,Small city
216,100000217,Male,Single,,Unknown,,Skilled employee/Official,Big city
217,100000218,Male,Single,23,Unknown,133912,Skilled employee/Official,Mid-sized city
218,100000219,Male,Non-single,24,High school,81210,Unemployed,Medium sized city
219,100000220,Female,Non-single,64,Graduate school,131242,Skilled employee/Official,Small city
220,100000221,Male,Non-single,26,High school,68804,Unemployed,Small city
221,100000222,Female,Non-single,23,,,Skilled employee/Official,Mid-sized city
222,100000223,Male,Single,30,Unknown,90719,Skilled employee/Official,Big city
223,100000224,Male,Single,32,Unknown,,Skilled employee/Official,Mid-sized city
224,100000225,Male,Single,30,Unknown,,Skilled employee/Official,Mid-sized city
225,100000226,Male,Single,27,Unknown,106623,Skilled employee/Official,Mid-sized city
226,100000227,Male,Single,27,Unknown,236264,Skilled employee/Official,Mid-sized city
227,100000228,Male,,53,High school,207783,Management/High qualified employee,Mid-sized city
228,100000229,Male,Single,22,Unknown,91739,Skilled employee/Official,Mid-sized city
229,100000230,Male,Single,22,Unknown,107780,Skilled employee/Official,Big city
230,100000231,Male,Single,26,Unknown,139157,Skilled employee/Official,Big city
231,100000232,Male,Single,51,High school,121751,Unemployed,Small city
232,100000233,Male,Single,35,High school,121974,Skilled employee/Official,Small city
233,100000234,Male,Non-single,25,High school,70320,Unemployed,Small city
234,100000235,Male,Single,42,High school,78327,Unemployed,Small city
235,100000236,Male,Single,30,Unknown,131433,Management/High qualified employee,Small city
236,100000237,Male,Single,23,Unknown,,Unemployed,Big city
237,100000238,Male,Non-single,61,University,130788,Unemployed,Small city
238,100000239,Female,Non-single,35,High school,107408,Skilled employee/Official,Mid-sized city
239,100000240,Male,Single,39,High school,115323,Skilled employee/Official,Mid-sized city
240,100000241,Female,Non-single,29,High school,99012,Skilled employee/Official,Small city
241,100000242,Male,Single,51,High school,115996,Skilled employee/Official,Mid-sized city
242,100000243,Male,Single,24,Unknown,123353,Skilled employee/Official,Mid-sized city
243,100000244,Female,Non-single,27,High school,100008,Skilled employee/Official,Small city
244,100000245,Female,Non-single,35,High school,125105,Unemployed,Small city
245,100000246,Male,Single,25,Unknown,92020,Skilled employee/Official,Big city
246,100000247,Male,Single,52,High school,108365,Skilled employee/Official,Big city
247,100000248,Male,Single,35,High school,112979,Skilled employee/Official,Small city
248,100000249,Male,Single,26,Unknown,117221,Skilled employee/Official,Mid-sized city
249,100000250,Female,Non-single,,High school,88800,,Big city
250,100000251,Female,Non-single,39,University,115099,Unemployed,Small city
251,100000252,Female,Non-single,46,University,,Unemployed,Small city
252,100000253,Female,Married,24,High school,115879,Skilled employee/Official,Mid-sized city
253,100000254,Male,Single,35,High school,141270,Skilled employee/Official,Big city
254,100000255,Male,Single,24,Unknown,,Skilled employee/Official,Mid-sized city
255,100000256,Male,Single,27,Unknown,131751,Unemployed,Small city
256,100000257,Male,Single,35,High school,,Unemployed,Small city
257,100000258,Male,Non-single,29,High school,106828,Skilled employee/Official,Big city
258,100000259,Female,Non-single,23,High school,135537,Skilled employee/Official,Mid-sized city
259,100000260,Female,Non-single,57,University,107142,Unemployed,Small city
260,100000261,Male,Single,27,Unknown,97446,Skilled employee/Official,Mid-sized city
261,100000262,Female,Non-single,55,University,126357,Skilled employee/Official,Big city
262,100000263,Male,Single,36,High school,169617,Management/High qualified employee,Mid-sized city
263,100000264,Female,Non-single,57,University,108945,Unemployed,Medium sized city
264,100000265,Male,Single,32,Unknown,67345,Unemployed,Small city
265,100000266,Male,Single,37,High school,106215,Skilled employee/Official,Small city
266,100000267,Male,Single,36,High school,149237,Skilled employee/Official,Small city
267,100000268,Female,Non-single,38,High school,112124,Skilled employee/Official,Small city
268,100000269,Male,Non-single,45,University,215150,Management/High qualified employee,Medium sized city
269,100000270,Male,Single,25,Unknown,89534,Skilled employee/Official,Mid-sized city
270,100000271,Male,Single,32,Unknown,111082,Skilled employee/Official,Big city
271,100000272,Female,Non-single,37,High school,137069,Skilled employee/Official,Mid-sized city
272,100000273,Male,Single,36,High school,244541,Management/High qualified employee,Big city
273,100000274,Male,Single,28,Unknown,120712,Skilled employee/Official,Mid-sized city
274,100000275,Male,Non-single,34,High school,175367,Unemployed,Small city
275,100000276,Male,Single,32,Unknown,111418,Skilled employee/Official,Mid-sized city
276,100000277,Female,Non-single,26,High school,110913,Skilled employee/Official,Small city
277,100000278,Male,Non-single,49,University,84267,Unemployed,Small city
278,100000279,Female,Non-single,32,High school,136886,Skilled employee/Official,Big city
279,100000280,Male,Single,29,Unknown,144884,Management/High qualified employee,Big city
280,100000281,Male,Single,23,Unknown,151180,Skilled employee/Official,Mid-sized city
281,100000282,Male,Single,50,High school,114997,Skilled employee/Official,Mid-sized city
282,100000283,Male,Single,49,High school,100961,Unemployed,Small city
283,100000284,Male,Single,63,University,124849,Skilled employee/Official,Big city
284,100000285,Male,Non-single,37,High school,,Skilled employee/Official,Medium sized city
285,100000286,Female,Non-single,35,High school,167945,Unemployed,Mid-sized city
286,100000287,Male,Single,26,Unknown,126706,Skilled employee/Official,Big city
287,100000288,Male,Single,31,Unknown,210017,Management/High qualified employee,Big city
288,100000289,Female,Married,49,University,,Skilled employee/Official,Mid-sized city
289,100000290,Male,Married,48,University,111184,Skilled employee/Official,Mid-sized city
290,100000291,Male,Non-single,26,High school,94134,Skilled employee/Official,Small city
291,100000292,Male,Non-single,28,High school,214620,Management/High qualified employee,Mid-sized city
292,100000293,Female,Married,44,University,193816,Management/High qualified employee,Mid-sized city
293,100000294,Male,Single,56,High school,168714,Skilled employee/Official,Mid-sized city
294,100000295,Male,Non-single,46,University,,Management/High qualified employee,Mid-sized city
295,100000296,Female,Non-single,26,High school,192451,Skilled employee/Official,Big city
296,100000297,Female,Non-single,20,High school,127928,Skilled employee/Official,Big city
297,100000298,Male,Single,45,High school,78253,Unemployed,Small city
298,100000299,Male,Single,43,High school,,Skilled employee/Official,Mid-sized city
299,100000300,Male,Single,32,Unknown,161379,Skilled employee/Official,Big city
300,100000301,Female,Non-single,54,University,56622,Unemployed,Small city
301,100000302,Female,Non-single,42,University,146117,Skilled employee/Official,Mid-sized city
302,100000303,Male,Single,37,High school,90418,Unemployed,Small city
303,100000304,Male,Single,49,High school,109053,Skilled employee/Official,Small city
304,100000305,Male,Single,44,High school,,Skilled employee/Official,Small city
305,100000306,Male,Non-single,33,,,Skilled employee/Official,Mid-sized city
306,100000307,Female,Married,,High school,102425,Unemployed,Small city
307,100000308,Male,Non-single,33,High school,79867,Unemployed,Mid sized city
308,100000309,Female,Non-single,24,High school,107114,Skilled employee/Official,Big city
309,100000310,Male,Non-single,22,,62263,Unemployed,Small city
310,100000311,Male,Single,40,High school,92567,Unemployed,Small city
311,100000312,Male,Single,25,Unknown,146349,Skilled employee/Official,Small city
312,100000313,Female,Non-single,26,High school,141825,Skilled employee/Official,Mid-sized city
313,100000314,Male,Non-single,25,High school,68582,Unemployed,Small city
314,100000315,Male,Single,29,Unknown,85476,Unemployed,Small city
315,100000316,Male,Single,31,Unknown,111091,Skilled employee/Official,Big city
316,100000317,Male,Single,38,High school,67110,Unemployed,Small city
317,100000318,Female,Non-single,48,University,126154,Unemployed,Small city
318,100000319,Male,Single,32,Unknown,92257,Skilled employee/Official,Big city
319,100000320,Female,,27,High school,93605,Unemployed,Small city
320,100000321,Male,Non-single,28,High school,165190,Management/High qualified employee,Medium sized city
321,100000322,Male,Non-single,32,High school,107195,Skilled employee/Official,Medium sized city
322,100000323,Male,Single,34,High school,145059,Management/High qualified employee,Small city
323,100000324,Male,Single,28,Unknown,148363,Skilled employee/Official,Small city
324,100000325,Female,Non-single,36,High school,105681,Skilled employee/Official,Big city
325,100000326,Male,Single,39,High school,93732,Unemployed,Small city
326,100000327,Male,Single,49,High school,154778,Skilled employee/Official,Big city
327,100000328,Female,Non-single,34,High school,149356,Skilled employee/Official,Big city
328,100000329,Male,Single,31,Unknown,145670,Skilled employee/Official,
329,100000330,Male,Single,28,Unknown,101589,Skilled employee/Official,Big city
330,100000331,Male,Single,75,University,213333,Management/High qualified employee,Mid-sized city
331,100000332,Female,Non-single,30,High school,122420,Skilled employee/Official,Small city
332,100000333,Female,Non-single,24,High school,209856,Management/High qualified employee,Mid-sized city
333,100000334,Female,Non-single,24,High school,181003,Unemployed,Small city
334,100000335,Male,Single,23,Unknown,117804,Skilled employee/Official,Mid-sized city
335,100000336,Male,Non-single,44,University,160650,Management/High qualified employee,Mid-sized city
336,100000337,Female,Non-single,23,High school,84611,Unemployed,Small city
337,100000338,Female,Non-single,24,High school,98479,Skilled employee/Official,Big city
338,100000339,Male,Single,28,Unknown,122359,Skilled employee/Official,Big city
339,100000340,Male,,31,High school,81394,Unemployed,Small city
340,100000341,Female,Non-single,24,High school,,Skilled employee/Official,Mid-sized city
341,100000342,Female,Non-single,26,High school,92385,Unemployed,Small city
342,100000343,Male,Non-single,25,High school,149851,Skilled employee/Official,Medium sized city
343,100000344,Male,Single,33,High school,167939,Management/High qualified employee,Mid-sized city
344,100000345,Male,Single,37,High school,115426,Unemployed,Small city
345,100000346,Female,Non-single,43,University,85402,Unemployed,Small city
346,100000347,Male,Single,,Unknown,,Skilled employee/Official,Big city
347,100000348,Female,Married,23,High school,,Unemployed,Small city
348,100000349,Male,Single,34,High school,87355,Unemployed,Small city
349,100000350,Male,Single,32,Unknown,145933,Skilled employee/Official,Mid-sized city
350,100000351,Female,Non-single,23,High school,97307,Skilled employee/Official,Small city
351,100000352,Female,Non-single,29,High school,108434,Skilled employee/Official,Big city
352,100000353,Male,Single,38,High school,151312,Management/High qualified employee,Mid-sized city
353,100000354,Male,Single,28,Unknown,141847,Skilled employee/Official,Mid-sized city
354,100000355,Male,Single,46,High school,130675,Skilled employee/Official,Big city
355,100000356,Male,Single,23,Unknown,69309,Unemployed,Small city
356,100000357,Male,Single,49,High school,,Skilled employee/Official,Big city
357,100000358,Male,Single,26,Unknown,153586,Management/High qualified employee,Big city
358,100000359,Male,Non-single,28,High school,92849,Skilled employee/Official,Small city
359,100000360,Female,Non-single,23,High school,108539,Skilled employee/Official,Big city
360,100000361,Male,Single,61,University,129556,Skilled employee/Official,Big city
361,100000362,Male,Single,37,High school,170146,Management/High qualified employee,Small city
362,100000363,Female,Non-single,36,High school,,Skilled employee/Official,Medium sized city
363,100000364,Male,Non-single,21,High school,,Skilled employee/Official,Big city
364,100000365,Male,Single,25,Unknown,43684,Unemployed,Small city
365,100000366,Male,Single,36,High school,103521,Skilled employee/Official,Small city
366,100000367,Male,Single,27,Unknown,118499,Skilled employee/Official,Mid-sized city
367,100000368,Female,Married,22,High school,119684,Skilled employee/Official,Medium sized city
368,100000369,Male,Single,42,,126586,Skilled employee/Official,Mid-sized city
369,100000370,Female,Non-single,40,University,136812,Skilled employee/Official,Big city
370,100000371,Male,Single,36,High school,118277,Skilled employee/Official,Mid-sized city
371,100000372,Male,Single,33,High school,144597,Skilled employee/Official,Mid-sized city
372,100000373,Female,Married,23,High school,106043,Skilled employee/Official,Small city
373,100000374,Male,Single,63,University,,Management/High qualified employee,Big city
374,100000375,Female,Married,60,University,309364,Management/High qualified employee,Big city
375,100000376,Female,Non-single,37,High school,170386,Skilled employee/Official,Mid-sized city
376,100000377,Male,Non-single,34,High school,112458,Skilled employee/Official,Small city
377,100000378,Male,Single,36,High school,96840,Skilled employee/Official,Mid-sized city
378,100000379,Male,Single,57,University,281923,Management/High qualified employee,Mid-sized city
379,100000380,Female,Non-single,52,University,95551,Unemployed,Small city
380,100000381,Male,Single,39,High school,112347,Skilled employee/Official,Big city
381,100000382,Female,Non-single,38,High school,,Management/High qualified employee,Big city
382,100000383,Female,Non-single,25,High school,99354,Skilled employee/Official,Small city
383,100000384,Male,Single,26,Unknown,111509,Skilled employee/Official,Big city
384,100000385,Male,Single,26,Unknown,105252,Unemployed,Small city
385,100000386,Female,Non-single,25,High school,108522,Skilled employee/Official,Small city
386,100000387,Female,Non-single,21,High school,94655,Skilled employee/Official,Mid-sized city
387,100000388,Male,Single,40,High school,201699,Management/High qualified employee,Mid-sized city
388,100000389,Male,Single,27,Unknown,139868,Skilled employee/Official,Big city
389,100000390,Female,Married,27,High school,102543,Skilled employee/Official,Mid-sized city
390,100000391,Male,Non-single,,High school,134467,Management/High qualified employee,Medium sized city
391,100000392,Female,Non-single,19,High school,111187,Unemployed,Small city
392,100000393,Male,Single,39,High school,152302,Management/High qualified employee,Mid-sized city
393,100000394,Female,Non-single,31,High school,110610,Skilled employee/Official,Big city
